"Story","Title","Result","Date","Stability","Duration (s)"
"Album","Find an Album","SUCCESS","2021-03-26T23:39:28.024999Z[Europe/London]","0.0","6.59"
"Artist","Find an Artist","SUCCESS","2021-03-26T23:39:34.6369078Z[Europe/London]","0.0","0.55"
"Adding Numbers","Adding two numbers","SUCCESS","2021-03-26T19:55:22.2015786Z[Europe/London]","0.0","0.16"
"Album","Search for Album","SUCCESS","2021-03-27T01:51:39.385023Z[Europe/London]","0.0","8.44"
"Artist","Search for Artist","SUCCESS","2021-03-27T01:51:47.8536621Z[Europe/London]","0.0","0.56"
"Artist","Invalid search for an Artist","SUCCESS","2021-03-27T01:51:48.4344687Z[Europe/London]","0.0","0.55"
"Artist","Search for a Non-existent artist","SUCCESS","2021-03-27T01:51:48.99767Z[Europe/London]","0.0","0.61"
"Track","Search for Track","SUCCESS","2021-03-27T01:51:49.6192724Z[Europe/London]","0.0","0.47"
"Track","Invalid search for a Track","SUCCESS","2021-03-27T01:51:50.1068108Z[Europe/London]","0.0","0.48"
"Categories","Search for Album/Music by Categories","SUCCESS","2021-03-27T01:51:50.6016401Z[Europe/London]","0.0","1.03"
"Categories","Search for Categories must be larger than Zero","SUCCESS","2021-03-27T01:51:51.6532707Z[Europe/London]","0.0","0.71"
